d,c_n,c_bn,days
6/23/2009,4247,7091.299805,419
6/24/2009,4292.950195,7107.899902,420
6/25/2009,4241.850098,7123,421
6/26/2009,4375.5,7398.450195,422
6/29/2009,4390.950195,7508.600098,423
6/30/2009,4291.100098,7338.850098,424
7/1/2009,4340.899902,7452.600098,425
7/2/2009,4348.850098,7397.950195,426
7/3/2009,4424.25,7566.049805,427
7/6/2009,4165.700195,6946.450195,428
7/7/2009,4202.149902,6952.600098,429
7/8/2009,4078.899902,6661.75,430
7/9/2009,4080.949951,6672.75,431
7/10/2009,4003.899902,6520.600098,432
7/13/2009,3974.050049,6531.299805,433
7/14/2009,4111.399902,6756.399902,434
7/15/2009,4233.5,6938.700195,435
7/16/2009,4231.399902,6912.399902,436
7/17/2009,4374.950195,7231.049805,437
7/20/2009,4502.25,7530.200195,438
7/21/2009,4469.100098,7430.399902,439
7/22/2009,4398.899902,7329.549805,440
7/23/2009,4523.75,7473.5,441
7/24/2009,4568.549805,7385.549805,442
7/27/2009,4572.299805,7398.649902,443
7/28/2009,4564.100098,7312.549805,444
7/29/2009,4513.5,7224.200195,445
7/30/2009,4571.450195,7389.700195,446
7/31/2009,4636.450195,7544.5,447
8/3/2009,4711.399902,7650.100098,448
8/4/2009,4680.5,7617.799805,449
8/5/2009,4694.149902,7607.5,450
8/6/2009,4585.5,7471.799805,451
8/7/2009,4481.399902,7249.5,452
8/10/2009,4437.649902,7160,453
8/11/2009,4471.350098,7218.25,454
8/12/2009,4457.5,7172.049805,455
8/13/2009,4605,7472.399902,456
8/14/2009,4580.049805,7418.950195,457
8/17/2009,4387.899902,7104.850098,458
8/18/2009,4458.899902,7207.25,459
8/19/2009,4394.100098,7106.700195,460
8/20/2009,4453.450195,7261.200195,461
8/21/2009,4528.799805,7377.100098,462
8/24/2009,4642.799805,7507.399902,463
8/25/2009,4659.350098,7424.5,464
8/26/2009,4680.850098,7418.350098,465
8/27/2009,4688.200195,7385.649902,466
8/28/2009,4732.350098,7482.399902,467
8/31/2009,4662.100098,7431.649902,468
9/1/2009,4625.350098,7377.200195,469
9/2/2009,4608.350098,7339.549805,470
9/3/2009,4593.549805,7351,471
9/4/2009,4680.399902,7444.149902,472
9/7/2009,4782.899902,7650.649902,473
